,corp_name,se,thstrm,frmtrm,lwfr
0,LS,주당액면가액(원),"5,000","5,000","5,000"
1,LS,(연결)당기순이익(백만원),"126,850","25,331","404,149"
2,LS,(별도)당기순이익(백만원),"122,509","51,642","413,787"
3,LS,(연결)주당순이익(원),"4,568",912,"14,555"
4,LS,현금배당금총액(백만원),"40,262","40,262","34,709"
5,LS,주식배당금총액(백만원),-,-,-
6,LS,(연결)현금배당성향(%),31.74,158.90,8.59
7,LS,현금배당수익률(%),2.00,3.00,2.50
8,LS,현금배당수익률(%),-,-,-
9,LS,주식배당수익률(%),-,-,-
10,LS,주식배당수익률(%),-,-,-
11,LS,주당 현금배당금(원),"1,450","1,450","1,250"
12,LS,주당 현금배당금(원),-,-,-
13,LS,주당 주식배당(주),-,-,-
14,LS,주당 주식배당(주),-,-,-
