,corp_name,se,thstrm,frmtrm,lwfr
0,한화손해보험,주당액면가액(원),"5,000","5,000","5,000"
1,한화손해보험,(연결)당기순이익(백만원),"48,250","-69,074","81,760"
2,한화손해보험,(별도)당기순이익(백만원),"88,383","-60,967","82,306"
3,한화손해보험,(연결)주당순이익(원),315,-705,648
4,한화손해보험,현금배당금총액(백만원),-,-,"15,176"
5,한화손해보험,주식배당금총액(백만원),-,-,-
6,한화손해보험,(연결)현금배당성향(%),-,-,18.60
7,한화손해보험,현금배당수익률(%),-,-,2.36
8,한화손해보험,현금배당수익률(%),-,-,-
9,한화손해보험,주식배당수익률(%),-,-,-
10,한화손해보험,주식배당수익률(%),-,-,-
11,한화손해보험,주당 현금배당금(원),-,-,130
12,한화손해보험,주당 현금배당금(원),-,-,-
13,한화손해보험,주당 주식배당(주),-,-,-
14,한화손해보험,주당 주식배당(주),-,-,-
